TIMESTAMP,GLOBAL_Avg,DIRECT_Avg,DIFFUSE_Avg,GH_CALC_Avg,percent
2022-12-31 21:36:00,-1.74672,-0.114692,-2.31782,-2.31782,-0.02226472863130499
2022-12-31 21:37:00,-1.76155,-0.126607,-2.33245,-2.33245,-0.022313079050402525
2022-12-31 21:38:00,-1.74557,-0.0849013,-2.33112,-2.33112,-0.022630907365105864
2022-12-31 21:39:00,-1.6942,-0.0491535,-2.22867,-2.22867,-0.02189166809021159
2022-12-31 21:40:00,-1.59032,-0.0566013,-2.15417,-2.15417,-0.021085469791471346
2022-12-31 21:41:00,-1.55492,-0.0625592,-2.03974,-2.03974,-0.019891670786833113
2022-12-31 21:42:00,-1.50583,-0.0655382,-1.87608,-1.87608,-0.018229444177483924
2022-12-31 21:43:00,-1.5241,-0.0595801,-1.79092,-1.79092,-0.01742476586039417
2022-12-31 21:44:00,-1.48528,-0.044685,-1.71375,-1.71375,-0.016773138203892722
2022-12-31 21:45:00,-1.46587,-0.0506429,-1.72306,-1.72306,-0.01681648391606648
2022-12-31 21:46:00,-1.47271,-0.0625587,-1.7776,-1.7776,-0.01726301112181336
2022-12-31 21:47:00,-1.47271,-0.061069,-1.8255,-1.8255,-0.017752833857365532
2022-12-31 21:48:00,-1.4807,-0.0521321,-1.91597,-1.91597,-0.0187298442274829
2022-12-31 21:49:00,-1.53437,-0.0655378,-2.04239,-2.04239,-0.01988202967511436
2022-12-31 21:50:00,-1.55606,-0.0580904,-2.09694,-2.09694,-0.020487803088543772
2022-12-31 21:51:00,-1.58574,-0.0685168,-2.11956,-2.11956,-0.02062603653842157
2022-12-31 21:52:00,-1.61999,-0.0700065,-2.1821,-2.1821,-0.02123750911875084
2022-12-31 21:53:00,-1.6805,-0.0685169,-2.29253,-2.29253,-0.022352709504153974
2022-12-31 21:54:00,-1.69991,-0.062559,-2.36971,-2.36971,-0.023172930205719224
2022-12-31 21:55:00,-1.73873,-0.0431956,-2.45753,-2.45753,-0.024212436997695097
2022-12-31 21:56:00,-1.76841,-0.0372377,-2.43492,-2.43492,-0.024035581177178522
2022-12-31 21:57:00,-1.80153,-0.0417063,-2.37371,-2.37371,-0.02338495036184236
2022-12-31 21:58:00,-1.8118,-0.0700069,-2.41097,-2.41097,-0.023517104643538445
2022-12-31 21:59:00,-1.82435,-0.0983073,-2.48281,-2.48281,-0.02399387081150275
2022-12-31 22:00:00,-1.87915,-0.102775,-2.6132,-2.6132,-0.025257701439045977
2022-12-31 22:01:00,-1.89969,-0.0938383,-2.61852,-2.61852,-0.02538496863084649
2022-12-31 22:02:00,-1.88599,-0.101286,-2.58924,-2.58924,-0.025026558164310608
2022-12-31 22:03:00,-1.92138,-0.131076,-2.66508,-2.66508,-0.025527601227248987
2022-12-31 22:04:00,-1.94878,-0.122138,-2.75555,-2.75555,-0.026506394476516808
2022-12-31 22:05:00,-1.9933,-0.119159,-2.79148,-2.79148,-0.02688886268318697
2022-12-31 22:06:00,-2.00243,-0.125117,-2.81143,-2.81143,-0.027034552536885696
2022-12-31 22:07:00,-1.94649,-0.119159,-2.73692,-2.73692,-0.026338482009695924
2022-12-31 22:08:00,-1.91909,-0.151928,-2.59721,-2.59721,-0.02465489573223744
2022-12-31 22:09:00,-1.95105,-0.180228,-2.6278,-2.6278,-0.024711890908163506
2022-12-31 22:10:00,-1.95676,-0.178738,-2.68635,-2.68635,-0.025306830810786093
2022-12-31 22:11:00,-1.9853,-0.177249,-2.75555,-2.75555,-0.026008375100919714
2022-12-31 22:12:00,-2.05038,-0.17427,-2.86865,-2.86865,-0.027162005411272096
2022-12-31 22:13:00,-2.02755,-0.159376,-2.9192,-2.9192,-0.027794748105808478
